"903000-001","DHL Express","DHL Express - UK"
"903001-001","DHL Standard","DHL Standard - Europe EU Group 1"
"903002-001","DHL Standard","DHL Standard - Europe EU Group 2"
"903003-001","DHL Express","DHL Express - Europe EU"
"903003-001","DHL Express","DHL Express - Europe EU"
"903003-001","DHL Express","DHL Express - Europe EU"
"903004-001","DHL Standard","DHL Standard - Europe Other Group 1"
"903005-001","DHL Standard","DHL Standard - Europe Other Group 2"
"903006-001","DHL Express","DHL Express - Europe Other"
"903006-001","DHL Express","DHL Express - Europe Other"
"903006-001","DHL Express","DHL Express - Europe Other"
"903007-001","DHL Express","DHL Express - Middle / Far East"
"903008-001","DHL Express","DHL Express - AUS/NZ and Rest of the World"
"903009-001","DHL Express","DHL Express - United States"
