"9010100-001","UPS Express","South Dakota Next Business Day"
"9010101-001","UPS Ground","South Dakota 3-5 Business Days"
"9010102-001","UPS Express","Tennessee Next Business Day"
"9010103-001","UPS Ground","Tennessee 3-5 Business Days"
"9010104-001","UPS Express","Texas Next Business Day"
"9010105-001","UPS Ground","Texas 3-5 Business Days"
"9010106-001","UPS Express","Utah Next Business Day"
"9010107-001","UPS Ground","Utah 3-5 Business Days"
"9010108-001","UPS Express","Vermont Next Business Day"
"9010109-001","UPS Ground","Vermont 3-5 Business Days"
"9010110-001","UPS Express","Washington Next Business Day"
"9010111-001","UPS Ground","Washington 3-5 Business Days"
"9010112-001","UPS Express","Wisconsin Next Business Day"
"9010113-001","UPS Ground","Wisconsin 3-5 Business Days"
"9010114-001","UPS Express","West Virginia Next Business Day"
"9010115-001","UPS Ground","West Virginia 3-5 Business Days"
"9010116-001","UPS Express","Wyoming Next Business Day"
"9010117-001","UPS Ground","Wyoming 3-5 Business Days"
"9010132-001","UPS Ground","Connecticut 3-5 Business Days"
"9010133-001","UPS Ground","District of Columbia 3-5 Business Days"
"9010134-001","UPS Ground","Delaware 3-5 Business Days"
"9010135-001","UPS Ground","Massachusetts 3-5 Business Days"
"9010136-001","UPS Ground","Maryland 3-5 Business Days"
"9010137-001","UPS Ground","New Jersey 3-5 Business Days"
"9010138-001","UPS Ground","New York 3-5 Business Days"
"9010139-001","UPS Ground","Pennsylvania 3-5 Business Days"
"9010140-001","UPS Ground","Rhode Island 3-5 Business Days"
"9010141-001","UPS Ground","Virginia 3-5 Business Days"
"9010203-001","DHL Express","International Express"
"9010205-001","UPS Ground","Alaska 3-5 Business Days"
"9010206-001","UPS Ground","Hawaii 3-5 Business Days"
"9010207-001","UPS Ground","Minnesota 3-5 Business Days"
"9010208-001","UPS Ground","Missouri 3-5 Business Days"
"910012-001","UPS Express","United States Express"
"910013-001","DHL Express","Canada Express"
"910014-001","DHL Express","Other Regions Express"
"910025-001","Premier Daytime","Premier Daytime"
"910025-003","Premier Evening","Premier Evening"
"910026-001","UPS Express","Connecticut Next Business Day"
"910027-001","UPS Express","District of Columbia Next Business Day"
"910028-001","UPS Express","Delaware Next Business Day"
"910029-001","UPS Express","Massachusetts Next Business Day"
"910030-001","UPS Express","Maryland Next Business Day"
"910031-001","UPS Express","New Jersey Next Business Day"
"910032-001","UPS Express","New York State Next Business Day"
"910033-001","UPS Express","Pennsylvania Next Business Day"
"910034-001","UPS Express","Rhode Island Next Business Day"
"910035-001","UPS Express","Virginia Next Business Day"
"910036-001","UPS Express","Alaska Next Business Day"
"910038-001","UPS Express","Alabama Next Business Day"
"910039-001","UPS Ground","Alabama 3-5 Business Days"
"910040-001","UPS Express","Arkansas Next Business Day"
"910041-001","UPS Ground","Arkansas 3-5 Business Days"
"910042-001","UPS Express","Arizona Next Business Day"
"910043-001","UPS Ground","Arizona 3-5 Business Days"
"910044-001","UPS Express","California Next Business Day"
"910045-001","UPS Ground","California 3-5 Business Days"
"910046-001","UPS Express","Colorado Next Business Day"
"910047-001","UPS Ground","Colorado 3-5 Business Days"
"910048-001","UPS Express","Florida Next Business Day"
"910049-001","UPS Ground","Florida 3-5 Business Days"
"910050-001","UPS Express","Georgia Next Business Day"
"910051-001","UPS Ground","Georgia 3-5 Business Days"
"910052-001","UPS Express","Hawaii Next Business Day"
"910054-001","UPS Express","Iowa Next Business Day"
"910055-001","UPS Ground","Iowa 3-5 Business Days"
"910056-001","UPS Express","Idaho Next Business Day"
"910057-001","UPS Ground","Idaho 3-5 Business Days"
"910058-001","UPS Express","Illinois Next Business Day"
"910059-001","UPS Ground","Illinois 3-5 Business Days"
"910060-001","UPS Express","Indiana Next Business Day"
"910061-001","UPS Ground","Indiana 3-5 Business Days"
"910062-001","UPS Express","Kansas Next Business Day"
"910063-001","UPS Ground","Kansas 3-5 Business Days"
"910064-001","UPS Express","Kentucky Next Business Day"
"910065-001","UPS Ground","Kentucky 3-5 Business Days"
"910066-001","UPS Express","Louisiana Next Business Day"
"910067-001","UPS Ground","Louisiana 3-5 Business Days"
"910068-001","UPS Express","Maine Next Business Day"
"910069-001","UPS Ground","Maine 3-5 Business Days"
"910070-001","UPS Express","Michigan Next Business Day"
"910071-001","UPS Ground","Michigan 3-5 Business Days"
"910072-001","UPS Express","Minnesota Next Business Day"
"910074-001","UPS Express","Missouri Next Business Day"
"910076-001","UPS Express","Missississpi Next Business Day"
"910077-001","UPS Ground","Missississpi 3-5 Business Days"
"910078-001","UPS Express","Montana Next Business Day"
"910079-001","UPS Ground","Montana 3-5 Business Days"
"910080-001","UPS Express","North Carolina Next Business Day"
"910081-001","UPS Ground","North Carolina 3-5 Business Days"
"910082-001","UPS Express","North Dakota Next Business Day"
"910083-001","UPS Ground","North Dakota 3-5 Business Days"
"910084-001","UPS Express","Nebraska Next Business Day"
"910085-001","UPS Ground","Nebraska 3-5 Business Days"
"910086-001","UPS Express","New Hampshire Next Business Day"
"910087-001","UPS Ground","New Hampshire 3-5 Business Days"
"910088-001","UPS Express","New Mexico Next Business Day"
"910089-001","UPS Ground","New Mexico 3-5 Business Days"
"910090-001","UPS Express","Nevada Next Business Day"
"910091-001","UPS Ground","Nevada 3-5 Business Days"
"910092-001","UPS Express","Ohio Next Business Day"
"910093-001","UPS Ground","Ohio 3-5 Business Days"
"910094-001","UPS Express","Oklahoma Next Business Day"
