shipping_sku,country_code,postcode
9000436-016,AT,2070
9000436-016,AT,2073
9000436-016,AT,2074
9000436-016,AT,2081
9000436-016,AT,2082
9000436-016,AT,2083
9000436-016,AT,2084
9000436-016,AT,2091
9000436-016,AT,2092
9000436-016,AT,2093
9000436-016,AT,2094
9000436-016,AT,2095
9000436-016,AT,3122
9000436-016,AT,3182
9000436-016,AT,3183
9000436-016,AT,3184
9000436-016,AT,3192
9000436-016,AT,3193
9000436-016,AT,3195
9000436-016,AT,3203
9000436-016,AT,3204
9000436-016,AT,3205
9000436-016,AT,3211
9000436-016,AT,3212
9000436-016,AT,3213
9000436-016,AT,3214
9000436-016,AT,3221
9000436-016,AT,3222
9000436-016,AT,3223
9000436-016,AT,3224
9000436-016,AT,3293
9000436-016,AT,3294
9000436-016,AT,3295
9000436-016,AT,3321
9000436-016,AT,3322
9000436-016,AT,3323
9000436-016,AT,3324
9000436-016,AT,3325
9000436-016,AT,3334
9000436-016,AT,3335
9000436-016,AT,3341
9000436-016,AT,3342
9000436-016,AT,3343
9000436-016,AT,3344
9000436-016,AT,3345
9000436-016,AT,3361
9000436-016,AT,3362
9000436-016,AT,3392
9000436-016,AT,3425
9000436-016,AT,3463
9000436-016,AT,3470
9000436-016,AT,3471
9000436-016,AT,3472
9000436-016,AT,3473
9000436-016,AT,3474
9000436-016,AT,3521
9000436-016,AT,3522
9000436-016,AT,3524
9000436-016,AT,3525
9000436-016,AT,3541
9000436-016,AT,3542
9000436-016,AT,3543
9000436-016,AT,3544
9000436-016,AT,3571
9000436-016,AT,3572
9000436-016,AT,3573
9000436-016,AT,3591
9000436-016,AT,3592
9000436-016,AT,3593
9000436-016,AT,3594
9000436-016,AT,3595
9000436-016,AT,3601
9000436-016,AT,3602
9000436-016,AT,3610
9000436-016,AT,3611
9000436-016,AT,3613
9000436-016,AT,3620
9000436-016,AT,3621
9000436-016,AT,3622
9000436-016,AT,3623
9000436-016,AT,3631
9000436-016,AT,3632
9000436-016,AT,3633
9000436-016,AT,3641
9000436-016,AT,3642
9000436-016,AT,3643
9000436-016,AT,3644
9000436-016,AT,3650
9000436-016,AT,3652
9000436-016,AT,3653
9000436-016,AT,3654
9000436-016,AT,3660
9000436-016,AT,3661
9000436-016,AT,3662
9000436-016,AT,3663
9000436-016,AT,3664
9000436-016,AT,3665
9000436-016,AT,3671
9000436-016,AT,3672
9000436-016,AT,3680
9000436-016,AT,3683
9000436-016,AT,3684
9000436-016,AT,3691
9000436-016,AT,3701
9000436-016,AT,3702
9000436-016,AT,3704
9000436-016,AT,3710
9000436-016,AT,3711
9000436-016,AT,3712
9000436-016,AT,3713
9000436-016,AT,3714
9000436-016,AT,3720
9000436-016,AT,3721
9000436-016,AT,3722
9000436-016,AT,3730
9000436-016,AT,3741
9000436-016,AT,3742
9000436-016,AT,3743
9000436-016,AT,3744
9000436-016,AT,3751
9000436-016,AT,3752
9000436-016,AT,3753
9000436-016,AT,3754
9000436-016,AT,3761
9000436-016,AT,3762
9000436-016,AT,3763
9000436-016,AT,3800
9000436-016,AT,3811
9000436-016,AT,3814
9000436-016,AT,3820
9000436-016,AT,3822
9000436-016,AT,3823
9000436-016,AT,3824
9000436-016,AT,3834
9000436-016,AT,3841
9000436-016,AT,3842
9000436-016,AT,3843
9000436-016,AT,3844
9000436-016,AT,3851
9000436-016,AT,3852
9000436-016,AT,3860
9000436-016,AT,3861
9000436-016,AT,3862
9000436-016,AT,3863
9000436-016,AT,3871
9000436-016,AT,3872
9000436-016,AT,3873
9000436-016,AT,3874
9000436-016,AT,3910
9000436-016,AT,3911
9000436-016,AT,3912
9000436-016,AT,3913
9000436-016,AT,3914
9000436-016,AT,3920
9000436-016,AT,3921
9000436-016,AT,3922
9000436-016,AT,3923
9000436-016,AT,3924
9000436-016,AT,3925
9000436-016,AT,3961
9000436-016,AT,3962
9000436-016,AT,3970
9000436-016,AT,3971
9000436-016,AT,3972
9000436-016,AT,3973
9000436-016,AT,4000
9000436-016,AT,4062
9000436-016,AT,4822
9000436-016,AT,4824
9000436-016,AT,4825
9000436-016,AT,4829
9000436-016,AT,4830
9000436-016,AT,4831
9000436-016,AT,5084
9000436-016,AT,5089
9000436-016,AT,5113
9000436-016,AT,5114
9000436-016,AT,5120
9000436-016,AT,5121
9000436-016,AT,5122
9000436-016,AT,5131
9000436-016,AT,5132
9000436-016,AT,5133
9000436-016,AT,5134
9000436-016,AT,5141
9000436-016,AT,5142
9000436-016,AT,5143
9000436-016,AT,5144
9000436-016,AT,5145
9000436-016,AT,5151
9000436-016,AT,5152
9000436-016,AT,5165
9000436-016,AT,5166
9000436-016,AT,5167
9000436-016,AT,5211
9000436-016,AT,5212
9000436-016,AT,5221
9000436-016,AT,5222
9000436-016,AT,5222
9000436-016,AT,5224
9000436-016,AT,5231
9000436-016,AT,5232
9000436-016,AT,5233
9000436-016,AT,5241
9000436-016,AT,5242
9000436-016,AT,5251
9000436-016,AT,5252
9000436-016,AT,5270
9000436-016,AT,5271
9000436-016,AT,5272
9000436-016,AT,5273
9000436-016,AT,5311
9000436-016,AT,5321
9000436-016,AT,5323
9000436-016,AT,5324
9000436-016,AT,5325
9000436-016,AT,5421
9000436-016,AT,5422
9000436-016,AT,5423
9000436-016,AT,5424
9000436-016,AT,5441
9000436-016,AT,5442
9000436-016,AT,5450
9000436-016,AT,5451
9000436-016,AT,5452
9000436-016,AT,5453
9000436-016,AT,5505
9000436-016,AT,5511
9000436-016,AT,5521
9000436-016,AT,5522
9000436-016,AT,5524
9000436-016,AT,5532
9000436-016,AT,5542
9000436-016,AT,5552
9000436-016,AT,5561
9000436-016,AT,5562
9000436-016,AT,5563
9000436-016,AT,5570
9000436-016,AT,5571
9000436-016,AT,5572
9000436-016,AT,5573
9000436-016,AT,5574
9000436-016,AT,5580
9000436-016,AT,5581
9000436-016,AT,5582
9000436-016,AT,5583
9000436-016,AT,5584
9000436-016,AT,5585
9000436-016,AT,5591
9000436-016,AT,5592
9000436-016,AT,5602
9000436-016,AT,5603
9000436-016,AT,5611
9000436-016,AT,5612
9000436-016,AT,5620
9000436-016,AT,5621
9000436-016,AT,5622
9000436-016,AT,5623
9000436-016,AT,5630
9000436-016,AT,5632
9000436-016,AT,5640
9000436-016,AT,5645
9000436-016,AT,5651
9000436-016,AT,5652
9000436-016,AT,5660
9000436-016,AT,5661
9000436-016,AT,5662
9000436-016,AT,5671
9000436-016,AT,5672
9000436-016,AT,5710
9000436-016,AT,5721
9000436-016,AT,5722
9000436-016,AT,5723
9000436-016,AT,5724
9000436-016,AT,5730
9000436-016,AT,5731
9000436-016,AT,5732
9000436-016,AT,5733
9000436-016,AT,5741
9000436-016,AT,5742
9000436-016,AT,5743
9000436-016,AT,5752
9000436-016,AT,5753
9000436-016,AT,5754
9000436-016,AT,6071
9000436-016,AT,6072
9000436-016,AT,6073
9000436-016,AT,6074
9000436-016,AT,6075
9000436-016,AT,6080
9000436-016,AT,6082
9000436-016,AT,6082
9000436-016,AT,6091
9000436-016,AT,6094
9000436-016,AT,6094
9000436-016,AT,6100
9000436-016,AT,6103
9000436-016,AT,6105
9000436-016,AT,6108
9000436-016,AT,6133
9000436-016,AT,6141
9000436-016,AT,6142
9000436-016,AT,6143
9000436-016,AT,6145
9000436-016,AT,6150
9000436-016,AT,6152
9000436-016,AT,6154
9000436-016,AT,6156
9000436-016,AT,6156
9000436-016,AT,6161
9000436-016,AT,6162
9000436-016,AT,6165
9000436-016,AT,6166
9000436-016,AT,6167
9000436-016,AT,6173
9000436-016,AT,6179
9000436-016,AT,6181
9000436-016,AT,6182
9000436-016,AT,6183
9000436-016,AT,6184
9000436-016,AT,6212
9000436-016,AT,6213
9000436-016,AT,6215
9000436-016,AT,6220
9000436-016,AT,6222
9000436-016,AT,6234
9000436-016,AT,6235
9000436-016,AT,6236
9000436-016,AT,6260
9000436-016,AT,6261
9000436-016,AT,6262
9000436-016,AT,6263
9000436-016,AT,6264
9000436-016,AT,6265
9000436-016,AT,6271
9000436-016,AT,6272
9000436-016,AT,6272
9000436-016,AT,6274
9000436-016,AT,6275
9000436-016,AT,6276
9000436-016,AT,6277
9000436-016,AT,6278
9000436-016,AT,6280
9000436-016,AT,6281
9000436-016,AT,6283
9000436-016,AT,6284
9000436-016,AT,6290
9000436-016,AT,6292
9000436-016,AT,6293
9000436-016,AT,6294
9000436-016,AT,6295
9000436-016,AT,6311
9000436-016,AT,6313
9000436-016,AT,6333
9000436-016,AT,6334
9000436-016,AT,6335
9000436-016,AT,6343
9000436-016,AT,6344
9000436-016,AT,6345
9000436-016,AT,6346
9000436-016,AT,6351
9000436-016,AT,6352
9000436-016,AT,6353
9000436-016,AT,6382
9000436-016,AT,6383
9000436-016,AT,6384
9000436-016,AT,6385
9000436-016,AT,6391
9000436-016,AT,6392
9000436-016,AT,6393
9000436-016,AT,6395
9000436-016,AT,6432
9000436-016,AT,6433
9000436-016,AT,6441
9000436-016,AT,6444
9000436-016,AT,6450
9000436-016,AT,6452
9000436-016,AT,6456
9000436-016,AT,6458
9000436-016,AT,6465
9000436-016,AT,6471
9000436-016,AT,6473
9000436-016,AT,6474
9000436-016,AT,6481
9000436-016,AT,6521
9000436-016,AT,6522
9000436-016,AT,6524
9000436-016,AT,6527
9000436-016,AT,6528
9000436-016,AT,6531
9000436-016,AT,6531
9000436-016,AT,6533
9000436-016,AT,6534
9000436-016,AT,6541
9000436-016,AT,6542
9000436-016,AT,6543
9000436-016,AT,6544
9000436-016,AT,6551
9000436-016,AT,6551
9000436-016,AT,6553
9000436-016,AT,6555
9000436-016,AT,6561
9000436-016,AT,6562
9000436-016,AT,6563
9000436-016,AT,6571
9000436-016,AT,6572
9000436-016,AT,6574
9000436-016,AT,6580
9000436-016,AT,6591
9000436-016,AT,6600
9000436-016,AT,6604
9000436-016,AT,6610
9000436-016,AT,6611
9000436-016,AT,6621
9000436-016,AT,6622
9000436-016,AT,6623
9000436-016,AT,6631
9000436-016,AT,6632
9000436-016,AT,6633
9000436-016,AT,6642
9000436-016,AT,6644
9000436-016,AT,6645
9000436-016,AT,6646
9000436-016,AT,6647
9000436-016,AT,6650
9000436-016,AT,6651
9000436-016,AT,6652
9000436-016,AT,6653
9000436-016,AT,6654
9000436-016,AT,6655
9000436-016,AT,6671
9000436-016,AT,6672
9000436-016,AT,6673
9000436-016,AT,6675
9000436-016,AT,6677
9000436-016,AT,6682
