"M Accessories XXS - XXXL","XXS","XS","S","M","L","XL","XXL","XXXL",,,,,,,,,,,
"M Acc Order S/M/L","S/M","M/L","L/XL",,,,,,,,,,,,,,,,,,,,
"M Belts",65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,,,,,
"M Gloves",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,,,,,,,,,,,,
"M Hats","S","M","L","XL","XXL",,,,,,,,,,,,,,,,,,
"M Hats (cm)",54,55,56,57,58,59,60,61,62,63,64,,,,,,,,,,,,,
"M Jeans 32length",27,28,29,30,31,32,33,34,"35","36",37,38,39,40,41,42,43,,,,,,,
"M Jeans 34length",27,28,29,30,31,32,33,34,"35","36",37,38,39,40,41,42,43,,,,,,,
"M Jeans 36length",27,28,29,30,31,32,33,34,"35","36",37,38,39,40,41,42,43,,,,,,,
"M Jeans RL (inches)","27R","27L","29R","29L","30R","30L","31R","31L","32R","32L","33R","33L","34R","34L","35R","35L","36R","36L","37R","37L","38R","38L",,,
"M Pants",28,29,30,31,32,33,34,35,36,37,38,39,40,,,,,,,,,,
"M RTW - FRANCE",40,42,44,46,"48","50",52,54,56,58,60,62,64,,,,,,,,,,
"M RTW - ITALY",42,44,46,48,50,"52","54",56,"58","60","62",64,66,,,,,,,,,,
"M RTW - UK",34,36,38,"40","42","44","46","48","50",,,,,,,,,,,,,,
"M RTW US SRL","36S","36R","36L","38S","38R","38L","40S","40R","40L","42S","42R","42L","44S","44R","44L","46S","46R","46L","48S","48R","48L",,
"M RTW US",36,38,"40","42","44","46","48",50,52,,,,,,,,,,,,,,
"M RTW XS - XL","P","S","M","L","XL","XXL",,,,,,,,,,,,,,,,,
"M RTW XXS - XXXL","XXS","XS","S","M","L","XL","XXL","XXXL",,,,,,,,,,,,,,,
"M Shirts EU","38","39","40","41","42","43","44","45","46",,,,,,,,,,,,,,
"M Shirts UK","14","14.5","15","15.5","16","16.5","17","17.5","18",18.5,19,,,,,,,,,,,,
"M Shirts 38R-44L","38R","38L","39R","39L","40R","40L","41R","41L","42R","42L","43R","43L","44R","44L",,,,,,,,,
"M Shoes - FR full size",40,41,42,43,44,45,46,47,,,,,,,,,,,,,,,
"M Shoes - EU full size",39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,
"M Shoes - EU half size",39,39.5,40,"40.5","41",41.5,42,42.5,43,43.5,44,44.5,45,45.5,46,46.5,47,47.5,48,48.5,49,49.5,50
"M Shoes - US full size",5,6,7,8,9,10,11,12,13,,,,,,,,,,,,,,
"M Shoes - US half size",5,"5.5","6","6.5",7,"7.5","8","8.5","9","9.5","10",10.5,11,11.5,12,12.5,13,13.5,,,,,
"M Shoes - UK full size","5",6,7,8,9,10,11,12,13,,,,,,,,,,,,,,
"M Shoes - UK half size","5","5.5","6","6.5",7,"7.5","8","8.5","9","9.5","10",10.5,11,11.5,12,12.5,13,,,,,,
"M Shorts",27,28,29,30,31,32,33,34,"35","36",37,38,39,40,41,42,,,,,,,,
"M Socks","S","M","L","XL",,,,,,,,,,,,,,,,,,,
"M Swimwear",30,"32","34","36","38","40","42",44,,,,,,,,,,,,,,,
"M Underwear",30,"32","34","36","38","40","42",44,,,,,,,,,,,,,,,,
"M Underwear XS - XL","XS/S","S/M","M/L","L/XL","XL/XXL",,,,,,,,,,,,,,,,,,
"M Underwear XS-XXL","XS","S","M","L","XL","XXL",,,,,,,,,,,,,,,,,
