[ product ]	[ fcp ]	[ xt ]
[ 10654 ]	t	f
[ 10923 ]	t	f
[ 11592 ]	t	f
[ 11594 ]	t	f
[ 11595 ]	t	f
[ 11597 ]	t	f
[ 11598 ]	t	f
[ 11599 ]	t	f
[ 12460 ]	t	f
[ 12519 ]	t	f
[ 12538 ]	t	f
[ 12605 ]	t	f
[ 12611 ]	t	f
[ 12614 ]	t	f
[ 12615 ]	t	f
[ 12845 ]	t	f
[ 12872 ]	t	f
[ 12874 ]	t	f
[ 12881 ]	t	f
[ 12882 ]	t	f
[ 12893 ]	t	f
[ 12896 ]	t	f
[ 12897 ]	t	f
[ 12901 ]	t	f
[ 12919 ]	t	f
[ 12942 ]	t	f
[ 12943 ]	t	f
[ 12949 ]	t	f
[ 12951 ]	t	f
[ 12957 ]	t	f
[ 12958 ]	t	f
[ 12964 ]	t	f
[ 12965 ]	t	f
[ 12975 ]	t	f
[ 12977 ]	t	f
[ 12978 ]	t	f
[ 12979 ]	t	f
[ 12980 ]	t	f
[ 12981 ]	t	f
[ 12984 ]	t	f
[ 13005 ]	t	f
[ 13006 ]	t	f
[ 13010 ]	t	f
[ 13020 ]	t	f
[ 13027 ]	t	f
[ 13028 ]	t	f
[ 13029 ]	t	f
[ 13032 ]	t	f
[ 13033 ]	t	f
[ 13034 ]	t	f
[ 13035 ]	t	f
[ 13036 ]	t	f
[ 13038 ]	t	f
[ 13039 ]	t	f
[ 13043 ]	t	f
[ 13058 ]	t	f
[ 13060 ]	t	f
[ 13076 ]	t	f
[ 13079 ]	t	f
[ 13081 ]	t	f
[ 13086 ]	t	f
[ 13095 ]	t	f
[ 13096 ]	t	f
[ 13104 ]	t	f
[ 13115 ]	t	f
[ 13117 ]	t	f
[ 13118 ]	t	f
[ 13140 ]	t	f
[ 13143 ]	t	f
[ 13144 ]	t	f
[ 13145 ]	t	f
[ 13150 ]	t	f
[ 13152 ]	t	f
[ 13155 ]	t	f
[ 13158 ]	t	f
[ 13160 ]	t	f
[ 13161 ]	t	f
[ 13162 ]	t	f
[ 13197 ]	t	f
[ 13218 ]	t	f
[ 13219 ]	t	f
[ 13228 ]	t	f
[ 13238 ]	t	f
[ 13272 ]	t	f
[ 13315 ]	t	f
[ 13319 ]	t	f
[ 13322 ]	t	f
[ 13323 ]	t	f
[ 13333 ]	t	f
[ 13357 ]	t	f
[ 13367 ]	t	f
[ 13376 ]	t	f
[ 13381 ]	t	f
[ 13385 ]	t	f
[ 13386 ]	t	f
[ 13450 ]	t	f
[ 13453 ]	t	f
[ 13454 ]	t	f
[ 13455 ]	t	f
[ 13456 ]	t	f
[ 13459 ]	t	f
[ 13461 ]	t	f
[ 13462 ]	t	f
[ 13465 ]	t	f
[ 13467 ]	t	f
[ 13473 ]	t	f
[ 13476 ]	t	f
[ 13478 ]	t	f
[ 13480 ]	t	f
[ 13481 ]	t	f
[ 13532 ]	t	f
[ 13534 ]	t	f
[ 13551 ]	t	f
[ 13552 ]	t	f
[ 13580 ]	t	f
[ 13582 ]	t	f
[ 13624 ]	t	f
[ 13663 ]	t	f
[ 13671 ]	t	f
[ 13672 ]	t	f
[ 13676 ]	t	f
[ 13678 ]	t	f
[ 13682 ]	t	f
[ 13688 ]	t	f
[ 13689 ]	t	f
[ 13690 ]	t	f
[ 13691 ]	t	f
[ 13693 ]	t	f
[ 13696 ]	t	f
[ 13701 ]	t	f
[ 13726 ]	t	f
[ 13753 ]	t	f
[ 13760 ]	t	f
[ 13774 ]	t	f
[ 13775 ]	t	f
[ 13779 ]	t	f
[ 13787 ]	t	f
[ 13800 ]	t	f
[ 13801 ]	t	f
[ 13809 ]	t	f
[ 13811 ]	t	f
[ 13814 ]	t	f
[ 13831 ]	t	f
[ 13832 ]	t	f
[ 13845 ]	t	f
[ 13873 ]	t	f
[ 13880 ]	t	f
[ 13882 ]	t	f
[ 13892 ]	t	f
[ 13893 ]	t	f
[ 13894 ]	t	f
[ 13899 ]	t	f
[ 13906 ]	t	f
[ 13927 ]	t	f
[ 13935 ]	t	f
[ 13949 ]	t	f
[ 13951 ]	t	f
[ 13952 ]	t	f
[ 13953 ]	t	f
[ 13963 ]	t	f
[ 13965 ]	t	f
[ 13986 ]	t	f
[ 13996 ]	t	f
[ 13997 ]	t	f
[ 14006 ]	t	f
[ 14007 ]	t	f
[ 14008 ]	t	f
[ 14011 ]	t	f
[ 14015 ]	t	f
[ 14020 ]	t	f
[ 14022 ]	t	f
[ 14033 ]	t	f
[ 14039 ]	t	f
[ 14048 ]	t	f
[ 14049 ]	t	f
[ 14050 ]	t	f
[ 14059 ]	t	f
[ 14062 ]	t	f
[ 14106 ]	t	f
[ 14113 ]	t	f
[ 14116 ]	t	f
[ 14117 ]	t	f
[ 14119 ]	t	f
[ 14121 ]	t	f
[ 14123 ]	t	f
[ 14126 ]	t	f
[ 14130 ]	t	f
[ 14132 ]	t	f
[ 14161 ]	t	f
[ 14163 ]	t	f
[ 14164 ]	t	f
[ 14165 ]	t	f
[ 14167 ]	t	f
[ 14168 ]	t	f
[ 14172 ]	t	f
[ 14179 ]	t	f
[ 14180 ]	t	f
[ 14208 ]	t	f
[ 14219 ]	t	f
[ 14226 ]	t	f
[ 14232 ]	t	f
[ 14234 ]	t	f
[ 14252 ]	t	f
[ 14309 ]	t	f
[ 14321 ]	t	f
[ 14346 ]	t	f
[ 14348 ]	t	f
[ 14351 ]	t	f
[ 14357 ]	t	f
[ 14360 ]	t	f
[ 14368 ]	t	f
[ 14377 ]	t	f
[ 14378 ]	t	f
[ 14392 ]	t	f
[ 14394 ]	t	f
[ 14401 ]	t	f
[ 14402 ]	t	f
[ 14444 ]	t	f
[ 14445 ]	t	f
[ 14448 ]	t	f
[ 14450 ]	t	f
[ 14452 ]	t	f
[ 14454 ]	t	f
[ 14462 ]	t	f
[ 14467 ]	t	f
[ 14469 ]	t	f
[ 14476 ]	t	f
[ 14477 ]	t	f
[ 14480 ]	t	f
[ 14495 ]	t	f
[ 14500 ]	t	f
[ 14502 ]	t	f
[ 14507 ]	t	f
[ 14511 ]	t	f
[ 14512 ]	t	f
[ 14513 ]	t	f
[ 14515 ]	t	f
[ 14516 ]	t	f
[ 14518 ]	t	f
[ 14520 ]	t	f
[ 14521 ]	t	f
[ 14525 ]	t	f
[ 14530 ]	t	f
[ 14540 ]	t	f
[ 14541 ]	t	f
[ 14544 ]	t	f
[ 14546 ]	t	f
[ 14547 ]	t	f
[ 14548 ]	t	f
[ 14560 ]	t	f
[ 14563 ]	t	f
[ 14579 ]	t	f
[ 14580 ]	t	f
[ 14593 ]	t	f
[ 14595 ]	t	f
[ 14599 ]	t	f
[ 14600 ]	t	f
[ 14603 ]	t	f
[ 14604 ]	t	f
[ 14607 ]	t	f
[ 14616 ]	t	f
[ 14638 ]	t	f
[ 14647 ]	t	f
[ 14661 ]	t	f
[ 14673 ]	t	f
[ 14684 ]	t	f
[ 14685 ]	t	f
[ 14698 ]	t	f
[ 14705 ]	t	f
[ 14714 ]	t	f
[ 14719 ]	t	f
[ 14729 ]	t	f
[ 14738 ]	t	f
[ 14741 ]	t	f
[ 14742 ]	t	f
[ 14744 ]	t	f
[ 14747 ]	t	f
[ 14755 ]	t	f
[ 14761 ]	t	f
[ 14762 ]	t	f
[ 14764 ]	t	f
[ 14766 ]	t	f
[ 14767 ]	t	f
[ 14768 ]	t	f
[ 14769 ]	t	f
[ 14781 ]	t	f
[ 14787 ]	t	f
[ 14788 ]	t	f
[ 14789 ]	t	f
[ 14792 ]	t	f
[ 14795 ]	t	f
[ 14799 ]	t	f
[ 14800 ]	t	f
[ 14803 ]	t	f
[ 14804 ]	t	f
[ 14805 ]	t	f
[ 14829 ]	t	f
[ 14851 ]	t	f
[ 14873 ]	t	f
[ 14874 ]	t	f
[ 14875 ]	t	f
[ 14886 ]	t	f
[ 14888 ]	t	f
[ 14896 ]	t	f
[ 14900 ]	t	f
[ 14905 ]	t	f
[ 14907 ]	t	f
[ 14909 ]	t	f
[ 14911 ]	t	f
[ 14932 ]	t	f
[ 14937 ]	t	f
[ 14939 ]	t	f
[ 14940 ]	t	f
[ 14942 ]	t	f
[ 14944 ]	t	f
[ 14966 ]	t	f
[ 15003 ]	t	f
[ 15019 ]	t	f
[ 15024 ]	t	f
[ 15035 ]	t	f
[ 15041 ]	t	f
[ 15056 ]	t	f
[ 15057 ]	t	f
[ 15081 ]	t	f
[ 15082 ]	t	f
[ 15094 ]	t	f
